code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00700,2023-04-19 00:00:00,360.6,354.8,360.6,352.6,16.222,0.0017,16279391,5827612230.0,-2.258953168044074,363.0
HK.00700,2023-04-20 00:00:00,354.8,354.6,359.2,353.2,16.213,0.0011,10530854,3765348573.0,-0.05636978579481078,354.8
HK.00700,2023-04-21 00:00:00,350.8,346.8,353.2,343.6,15.859,0.00173,16523648,5780344446.0,-2.1996615905245376,354.6
HK.00700,2023-04-24 00:00:00,344.8,342.6,348.4,335.6,15.668,0.00214,20470625,7023120389.0,-1.2110726643598584,346.8
HK.00700,2023-04-25 00:00:00,339.2,336.0,339.2,330.6,15.368,0.00219,20949955,7056476865.0,-1.9264448336252256,342.6
HK.00700,2023-04-26 00:00:00,333.4,345.8,349.8,333.0,15.813,0.00261,25018346,8637974033.0,2.91666666666667,336.0
HK.00700,2023-04-27 00:00:00,344.6,342.6,345.6,337.8,15.668,0.00154,14757831,5078333682.0,-0.9253903990746062,345.8
HK.00700,2023-04-28 00:00:00,345.6,342.0,352.4,341.4,15.641,0.00161,15394102,5356891792.0,-0.17513134851139014,342.6
HK.00700,2023-05-02 00:00:00,349.6,343.4,352.0,339.8,15.704,0.0009,8648798,3003103170.0,0.4093567251461922,342.0
HK.00700,2023-05-03 00:00:00,337.2,337.0,340.6,333.8,15.413,0.0011,10551544,3573459370.0,-1.8637157833430336,343.4
HK.00700,2023-05-04 00:00:00,338.2,335.4,341.2,330.6,15.341,0.00184,17579228,5936738264.0,-0.47477744807122335,337.0
HK.00700,2023-05-05 00:00:00,341.0,340.4,344.6,335.8,15.596,0.00155,14814925,5079655993.0,1.4907573047107932,335.4
HK.00700,2023-05-08 00:00:00,341.6,338.4,345.2,335.2,15.505,0.00112,10715881,3652510235.0,-0.5875440658049353,340.4
HK.00700,2023-05-09 00:00:00,335.8,326.0,336.8,325.8,14.941,0.00246,23541440,7831370563.0,-3.6643026004728068,338.4
HK.00700,2023-05-10 00:00:00,324.6,327.2,329.0,323.0,14.996,0.00162,15572919,5117818935.0,0.368098159509199,326.0
HK.00700,2023-05-11 00:00:00,330.2,324.0,331.2,320.8,14.85,0.00183,17571687,5746565382.0,-0.9779951100244464,327.2
HK.00700,2023-05-12 00:00:00,329.4,325.8,332.0,324.6,14.932,0.00188,17991214,5943372305.0,0.555555555555559,324.0
HK.00700,2023-05-15 00:00:00,322.6,338.6,342.0,322.6,15.514,0.00248,23740493,8025510416.0,3.928790669122164,325.8
HK.00700,2023-05-16 00:00:00,345.6,342.4,345.6,340.4,15.687,0.00147,14121222,4865134531.0,1.122268163024204,338.6
HK.00700,2023-05-17 00:00:00,343.6,340.4,347.4,338.8,15.596,0.00204,19562717,6766317221.0,-0.5841121495327104,342.4
HK.00700,2023-05-18 00:00:00,338.8,337.4,340.6,327.0,15.46,0.00359,34412000,11559354011.0,-0.881316098707403,340.4
HK.00700,2023-05-19 00:00:00,333.0,333.2,335.8,329.0,15.159,0.00237,22685856,7538059155.0,-1.2448132780082954,337.4
HK.00700,2023-05-22 00:00:00,331.8,340.2,344.4,328.2,15.478,0.00209,20042131,6765009287.0,2.100840336134454,333.2
HK.00700,2023-05-23 00:00:00,345.2,335.6,345.6,334.0,15.269,0.00157,15019611,5098105798.0,-1.352145796590231,340.2
HK.00700,2023-05-24 00:00:00,331.2,332.4,336.8,330.6,15.123,0.00141,13547979,4515574915.0,-0.9535160905840421,335.6
